from_id,05 - MEDELLÍN,08 - BARRANQUILLA,"11 - BOGOTÁ, D.C.",13 - CARTAGENA DE INDIAS,15 - TUNJA,17 - MANIZALES,18 - FLORENCIA,19 - POPAYÁN,20 - ASTREA,23 - MONTERÍA,25 - ALBÁN,27 - RIOSUCIO,41 - NEIVA,44 - BARRANCAS,47 - PEDRAZA,50 - VILLAVICENCIO,52 - SANDONÁ,54 - SAN JOSÉ DE CÚCUTA,63 - ARMENIA,66 - PEREIRA,68 - AGUADA,70 - SINCELEJO,73 - IBAGUÉ,76 - CALI,81 - ARAUCA,85 - YOPAL,86 - MOCOA,88 - SAN ANDRÉS,91 - LETICIA,94 - INÍRIDA,95 - SAN JOSÉ DEL GUAVIARE,97 - MITÚ,99 - SANTA ROSALÍA
70 - SINCELEJO,474.78,258.43,NA,191.62,704.64,685.08,1204.55,1043.12,301.29,142.89,727.42,NA,987.92,NA,167.48,909.12,1493.95,595.4,782.48,725.56,646.08,0,796.47,914.84,NA,918.11,1299.93,NA,NA,NA,NA,NA,NA
73 - IBAGUÉ,414.12,1007.44,NA,977.78,339.48,180.22,439.86,406.78,776.03,751.41,173.55,NA,223.23,NA,962.59,307.13,729.26,742.19,95.23,131.48,488.79,797.57,0,278.5,NA,588.58,535.24,NA,NA,NA,NA,NA,NA
76 - CALI,452.6,1164.05,NA,1097.24,595.54,276.81,404.21,148.35,1041.52,870.87,439.04,NA,376.03,NA,1073.1,563.19,399.1,1007.68,187.03,217.42,693.98,917.03,273.8,0,NA,844.63,421.94,NA,NA,NA,NA,NA,NA
81 - ARAUCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 - YOPAL,633,1050.34,NA,1088.25,253.74,686.22,916.74,971.17,818.93,871.3,460.46,NA,700.12,NA,1005.49,308.1,1206.15,586.07,666.68,702.93,320.09,917.46,584.26,849.95,NA,0,1012.13,NA,NA,NA,NA,NA,NA
86 - MOCOA,916.16,1509.47,NA,1479.81,764.42,699.21,230.05,286.28,1278.06,1253.44,619.83,NA,328.91,NA,1464.62,732.07,194.56,1244.22,614.23,650.47,862.87,1299.61,531.81,419.87,NA,1013.52,0,NA,NA,NA,NA,NA,NA
88 - SAN ANDRÉS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
91 - LETICIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94 - INÍRIDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95 - SAN JOSÉ DEL GUAVIARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97 - MITÚ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99 - SANTA ROSALÍA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
