from_id,to_id,dist_km,dur_min
52 - SANDONÁ,63 - ARMENIA,558.76,677.1678333333333
19 - POPAYÁN,25 - ALBÁN,569.13,578.1111666666667
50 - VILLAVICENCIO,76 - CALI,572.81,600.0985000000001
05 - MEDELLÍN,19 - POPAYÁN,576.08,598.4228333333334
54 - SAN JOSÉ DE CÚCUTA,85 - YOPAL,585.06,575.7461666666666
73 - IBAGUÉ,85 - YOPAL,588.58,528.3036666666667
52 - SANDONÁ,66 - PEREIRA,589.16,693.4568333333334
17 - MANIZALES,18 - FLORENCIA,593.51,511.6256666666667
54 - SAN JOSÉ DE CÚCUTA,70 - SINCELEJO,594.63,505.20866666666666
23 - MONTERÍA,68 - AGUADA,600.12,573.1115000000001
05 - MEDELLÍN,41 - NEIVA,603.07,537.2075
15 - TUNJA,76 - CALI,609.39,641.8465
63 - ARMENIA,86 - MOCOA,612.02,487.5221666666667
05 - MEDELLÍN,54 - SAN JOSÉ DE CÚCUTA,613.82,475.2145
25 - ALBÁN,86 - MOCOA,620.14,508.7096666666667
05 - MEDELLÍN,47 - PEDRAZA,622.81,581.1181666666666
20 - ASTREA,68 - AGUADA,628.34,504.08983333333333
05 - MEDELLÍN,85 - YOPAL,632.45,667.8534999999999
47 - PEDRAZA,54 - SAN JOSÉ DE CÚCUTA,633.41,582.474
18 - FLORENCIA,50 - VILLAVICENCIO,636.74,519.7411666666667
17 - MANIZALES,23 - MONTERÍA,637.73,621.2189999999999
15 - TUNJA,20 - ASTREA,638.56,546.3496666666667
66 - PEREIRA,86 - MOCOA,640.88,523.6573333333333
68 - AGUADA,70 - SINCELEJO,645.92,578.1676666666666
05 - MEDELLÍN,13 - CARTAGENA DE INDIAS,646.96,552.8985
05 - MEDELLÍN,20 - ASTREA,647.66,512.216
17 - MANIZALES,52 - SANDONÁ,651.66,762.6283333333333
15 - TUNJA,23 - MONTERÍA,658.65,614.6015
63 - ARMENIA,85 - YOPAL,665.35,605.2225
25 - ALBÁN,54 - SAN JOSÉ DE CÚCUTA,672.14,535.8053333333334
15 - TUNJA,18 - FLORENCIA,677.77,581.8956666666667
23 - MONTERÍA,66 - PEREIRA,679.6,642.1669999999999
08 - BARRANQUILLA,54 - SAN JOSÉ DE CÚCUTA,680.9,568.3451666666666
19 - POPAYÁN,50 - VILLAVICENCIO,681.38,655.7641666666666
23 - MONTERÍA,25 - ALBÁN,681.46,606.4881666666666
17 - MANIZALES,70 - SINCELEJO,683.89,627.9601666666666
17 - MANIZALES,86 - MOCOA,688.9,578.9965
17 - MANIZALES,85 - YOPAL,689.06,670.6681666666666
66 - PEREIRA,85 - YOPAL,694.21,641.3578333333334
41 - NEIVA,85 - YOPAL,701.31,598.7963333333333
15 - TUNJA,70 - SINCELEJO,704.81,621.3428333333334
20 - ASTREA,25 - ALBÁN,705.5,569.603
05 - MEDELLÍN,08 - BARRANQUILLA,713.76,592.259
13 - CARTAGENA DE INDIAS,54 - SAN JOSÉ DE CÚCUTA,716.02,601.2415
52 - SANDONÁ,73 - IBAGUÉ,726.6,667.6881666666667
25 - ALBÁN,70 - SINCELEJO,727.53,616.2023333333333
66 - PEREIRA,70 - SINCELEJO,728.73,667.3598333333333
23 - MONTERÍA,54 - SAN JOSÉ DE CÚCUTA,731.38,627.8306666666666
15 - TUNJA,19 - POPAYÁN,732.2,737.6246666666667
50 - VILLAVICENCIO,86 - MOCOA,734.99,606.3088333333333
23 - MONTERÍA,63 - ARMENIA,736.53,707.5631666666667
54 - SAN JOSÉ DE CÚCUTA,73 - IBAGUÉ,739.87,572.5591666666667
23 - MONTERÍA,73 - IBAGUÉ,750.51,633.0143333333333
50 - VILLAVICENCIO,54 - SAN JOSÉ DE CÚCUTA,754.49,636.6273333333334
68 - AGUADA,76 - CALI,760.69,737.2253333333333
18 - FLORENCIA,68 - AGUADA,767.54,676.2721666666667
15 - TUNJA,86 - MOCOA,773.16,649.2665
20 - ASTREA,73 - IBAGUÉ,774.56,596.1291666666667
17 - MANIZALES,54 - SAN JOSÉ DE CÚCUTA,786,642.6826666666667
70 - SINCELEJO,73 - IBAGUÉ,796.47,639.6415
19 - POPAYÁN,68 - AGUADA,812.18,812.2951666666667
25 - ALBÁN,52 - SANDONÁ,814.15,767.5181666666666
47 - PEDRAZA,68 - AGUADA,814.64,674.1398333333333
05 - MEDELLÍN,18 - FLORENCIA,819.69,687.9876666666667
17 - MANIZALES,20 - ASTREA,819.84,679.6841666666667
15 - TUNJA,47 - PEDRAZA,825.12,716.481
05 - MEDELLÍN,52 - SANDONÁ,826.83,925.5096666666667
54 - SAN JOSÉ DE CÚCUTA,63 - ARMENIA,829.28,672.8941666666667
17 - MANIZALES,47 - PEDRAZA,839.96,793.1766666666666
76 - CALI,85 - YOPAL,844.63,788.8803333333333
68 - AGUADA,86 - MOCOA,861.41,756.2775
08 - BARRANQUILLA,68 - AGUADA,862.13,660.0110000000001
23 - MONTERÍA,50 - VILLAVICENCIO,863.17,785.5083333333333
20 - ASTREA,63 - ARMENIA,863.97,696.4643333333333
54 - SAN JOSÉ DE CÚCUTA,66 - PEREIRA,864.09,714.7076666666667
13 - CARTAGENA DE INDIAS,17 - MANIZALES,864.81,751.6428333333333
23 - MONTERÍA,76 - CALI,868.89,824.0738333333334
08 - BARRANQUILLA,15 - TUNJA,871.34,702.4216666666667
23 - MONTERÍA,85 - YOPAL,872.15,876.525
20 - ASTREA,85 - YOPAL,878.31,796.7148333333333
47 - PEDRAZA,66 - PEREIRA,881.81,814.3715
63 - ARMENIA,70 - SINCELEJO,883.78,725.6788333333334
20 - ASTREA,50 - VILLAVICENCIO,887.21,748.6231666666666
25 - ALBÁN,47 - PEDRAZA,892.55,742.9381666666667
13 - CARTAGENA DE INDIAS,68 - AGUADA,897.25,692.9073333333333
20 - ASTREA,66 - PEREIRA,898.77,738.2776666666667
13 - CARTAGENA DE INDIAS,66 - PEREIRA,905.29,786.0856666666666
13 - CARTAGENA DE INDIAS,15 - TUNJA,906.46,735.3181666666666
13 - CARTAGENA DE INDIAS,25 - ALBÁN,907.15,750.4066666666666
70 - SINCELEJO,76 - CALI,914.84,830.7008333333334
05 - MEDELLÍN,86 - MOCOA,915.08,755.3585
70 - SINCELEJO,85 - YOPAL,918.11,883.152
18 - FLORENCIA,85 - YOPAL,918.18,749.5531666666667
50 - VILLAVICENCIO,70 - SINCELEJO,922.17,793.5481666666667
50 - VILLAVICENCIO,52 - SANDONÁ,929,865.1173333333334
41 - NEIVA,54 - SAN JOSÉ DE CÚCUTA,932.02,707.8931666666666
08 - BARRANQUILLA,17 - MANIZALES,932.15,791.1233333333333
08 - BARRANQUILLA,25 - ALBÁN,939.3,725.524
23 - MONTERÍA,41 - NEIVA,941.97,779.2743333333333
47 - PEDRAZA,73 - IBAGUÉ,960.86,766.1791666666667
13 - CARTAGENA DE INDIAS,63 - ARMENIA,962.21,851.4816666666667
19 - POPAYÁN,85 - YOPAL,962.82,885.5761666666666
20 - ASTREA,41 - NEIVA,966.01,742.3891666666666
15 - TUNJA,52 - SANDONÁ,967.17,908.075
08 - BARRANQUILLA,66 - PEREIRA,972.63,825.566
13 - CARTAGENA DE INDIAS,73 - IBAGUÉ,976.2,776.9330000000001
41 - NEIVA,70 - SINCELEJO,987.4,788.2901666666668
19 - POPAYÁN,23 - MONTERÍA,991.65,990.4418333333334
08 - BARRANQUILLA,73 - IBAGUÉ,1008.35,752.0503333333332
85 - YOPAL,86 - MOCOA,1012.13,825.1038333333333
54 - SAN JOSÉ DE CÚCUTA,76 - CALI,1012.55,862.6951666666666
19 - POPAYÁN,70 - SINCELEJO,1037.82,997.1831666666666
20 - ASTREA,76 - CALI,1047.24,886.2653333333333
47 - PEDRAZA,63 - ARMENIA,1050.27,866.5141666666666
52 - SANDONÁ,68 - AGUADA,1057.66,1000.2571666666666
47 - PEDRAZA,85 - YOPAL,1064.62,966.7646666666666
47 - PEDRAZA,76 - CALI,1071.09,996.2783333333333
47 - PEDRAZA,50 - VILLAVICENCIO,1073.51,918.673
13 - CARTAGENA DE INDIAS,50 - VILLAVICENCIO,1088.85,929.4268333333333
13 - CARTAGENA DE INDIAS,76 - CALI,1094.57,967.9923333333334
08 - BARRANQUILLA,63 - ARMENIA,1097.76,852.3855
08 - BARRANQUILLA,85 - YOPAL,1112.1,952.6358333333334
08 - BARRANQUILLA,50 - VILLAVICENCIO,1121,904.5443333333334
19 - POPAYÁN,54 - SAN JOSÉ DE CÚCUTA,1128.46,985.9145000000001
13 - CARTAGENA DE INDIAS,85 - YOPAL,1147.22,985.5321666666666
18 - FLORENCIA,54 - SAN JOSÉ DE CÚCUTA,1148.89,858.65
41 - NEIVA,47 - PEDRAZA,1152.42,915.0258333333334
18 - FLORENCIA,23 - MONTERÍA,1158.11,932.3058333333333
08 - BARRANQUILLA,76 - CALI,1161.91,1007.4728333333334
19 - POPAYÁN,20 - ASTREA,1162.3,1022.9159999999999
13 - CARTAGENA DE INDIAS,41 - NEIVA,1167.65,923.1928333333333
18 - FLORENCIA,20 - ASTREA,1182.73,895.6514999999999
19 - POPAYÁN,47 - PEDRAZA,1193.88,1162.3996666666667
