from_id,to_id,dist_km,from_depto,from_mpio,from_depto_id,to_depto,to_mpio,to_depto_id
13 - CARTAGENA DE INDIAS,27 - RIOSUCIO,NA,13,CARTAGENA DE INDIAS,13,27,RIOSUCIO,27
15 - TUNJA,27 - RIOSUCIO,NA,15,TUNJA,15,27,RIOSUCIO,27
17 - MANIZALES,27 - RIOSUCIO,NA,17,MANIZALES,17,27,RIOSUCIO,27
18 - FLORENCIA,27 - RIOSUCIO,NA,18,FLORENCIA,18,27,RIOSUCIO,27
19 - POPAYÁN,27 - RIOSUCIO,NA,19,POPAYÁN,19,27,RIOSUCIO,27
20 - ASTREA,27 - RIOSUCIO,NA,20,ASTREA,20,27,RIOSUCIO,27
23 - MONTERÍA,27 - RIOSUCIO,NA,23,MONTERÍA,23,27,RIOSUCIO,27
25 - ALBÁN,27 - RIOSUCIO,NA,25,ALBÁN,25,27,RIOSUCIO,27
05 - MEDELLÍN,41 - NEIVA,NA,05,MEDELLÍN,05,41,NEIVA,41
08 - BARRANQUILLA,41 - NEIVA,NA,08,BARRANQUILLA,08,41,NEIVA,41
"11 - BOGOTÁ, D.C.",41 - NEIVA,NA,11,"BOGOTÁ, D.C.",11,41,NEIVA,41
13 - CARTAGENA DE INDIAS,41 - NEIVA,NA,13,CARTAGENA DE INDIAS,13,41,NEIVA,41
15 - TUNJA,41 - NEIVA,NA,15,TUNJA,15,41,NEIVA,41
17 - MANIZALES,41 - NEIVA,NA,17,MANIZALES,17,41,NEIVA,41
18 - FLORENCIA,41 - NEIVA,NA,18,FLORENCIA,18,41,NEIVA,41
19 - POPAYÁN,41 - NEIVA,NA,19,POPAYÁN,19,41,NEIVA,41
20 - ASTREA,41 - NEIVA,NA,20,ASTREA,20,41,NEIVA,41
23 - MONTERÍA,41 - NEIVA,NA,23,MONTERÍA,23,41,NEIVA,41
25 - ALBÁN,41 - NEIVA,NA,25,ALBÁN,25,41,NEIVA,41
27 - RIOSUCIO,41 - NEIVA,NA,27,RIOSUCIO,27,41,NEIVA,41
05 - MEDELLÍN,44 - BARRANCAS,NA,05,MEDELLÍN,05,44,BARRANCAS,44
08 - BARRANQUILLA,44 - BARRANCAS,NA,08,BARRANQUILLA,08,44,BARRANCAS,44
"11 - BOGOTÁ, D.C.",44 - BARRANCAS,NA,11,"BOGOTÁ, D.C.",11,44,BARRANCAS,44
13 - CARTAGENA DE INDIAS,44 - BARRANCAS,NA,13,CARTAGENA DE INDIAS,13,44,BARRANCAS,44
15 - TUNJA,44 - BARRANCAS,NA,15,TUNJA,15,44,BARRANCAS,44
17 - MANIZALES,44 - BARRANCAS,NA,17,MANIZALES,17,44,BARRANCAS,44
