from_id,to_id,dist_km,from_depto,from_mpio,from_depto_id,to_depto,to_mpio,to_depto_id
70 - SINCELEJO,73 - IBAGUÉ,NA,70,SINCELEJO,70,73,IBAGUÉ,73
05 - MEDELLÍN,76 - CALI,NA,05,MEDELLÍN,05,76,CALI,76
08 - BARRANQUILLA,76 - CALI,NA,08,BARRANQUILLA,08,76,CALI,76
"11 - BOGOTÁ, D.C.",76 - CALI,NA,11,"BOGOTÁ, D.C.",11,76,CALI,76
13 - CARTAGENA DE INDIAS,76 - CALI,NA,13,CARTAGENA DE INDIAS,13,76,CALI,76
15 - TUNJA,76 - CALI,NA,15,TUNJA,15,76,CALI,76
17 - MANIZALES,76 - CALI,NA,17,MANIZALES,17,76,CALI,76
18 - FLORENCIA,76 - CALI,NA,18,FLORENCIA,18,76,CALI,76
19 - POPAYÁN,76 - CALI,NA,19,POPAYÁN,19,76,CALI,76
20 - ASTREA,76 - CALI,NA,20,ASTREA,20,76,CALI,76
23 - MONTERÍA,76 - CALI,NA,23,MONTERÍA,23,76,CALI,76
25 - ALBÁN,76 - CALI,NA,25,ALBÁN,25,76,CALI,76
27 - RIOSUCIO,76 - CALI,NA,27,RIOSUCIO,27,76,CALI,76
41 - NEIVA,76 - CALI,NA,41,NEIVA,41,76,CALI,76
44 - BARRANCAS,76 - CALI,NA,44,BARRANCAS,44,76,CALI,76
47 - PEDRAZA,76 - CALI,NA,47,PEDRAZA,47,76,CALI,76
50 - VILLAVICENCIO,76 - CALI,NA,50,VILLAVICENCIO,50,76,CALI,76
52 - SANDONÁ,76 - CALI,NA,52,SANDONÁ,52,76,CALI,76
54 - SAN JOSÉ DE CÚCUTA,76 - CALI,NA,54,SAN JOSÉ DE CÚCUTA,54,76,CALI,76
63 - ARMENIA,76 - CALI,NA,63,ARMENIA,63,76,CALI,76
66 - PEREIRA,76 - CALI,NA,66,PEREIRA,66,76,CALI,76
68 - AGUADA,76 - CALI,NA,68,AGUADA,68,76,CALI,76
70 - SINCELEJO,76 - CALI,NA,70,SINCELEJO,70,76,CALI,76
73 - IBAGUÉ,76 - CALI,NA,73,IBAGUÉ,73,76,CALI,76
05 - MEDELLÍN,81 - ARAUCA,NA,05,MEDELLÍN,05,81,ARAUCA,81
08 - BARRANQUILLA,81 - ARAUCA,NA,08,BARRANQUILLA,08,81,ARAUCA,81
"11 - BOGOTÁ, D.C.",81 - ARAUCA,NA,11,"BOGOTÁ, D.C.",11,81,ARAUCA,81
13 - CARTAGENA DE INDIAS,81 - ARAUCA,NA,13,CARTAGENA DE INDIAS,13,81,ARAUCA,81
15 - TUNJA,81 - ARAUCA,NA,15,TUNJA,15,81,ARAUCA,81
17 - MANIZALES,81 - ARAUCA,NA,17,MANIZALES,17,81,ARAUCA,81
18 - FLORENCIA,81 - ARAUCA,NA,18,FLORENCIA,18,81,ARAUCA,81
19 - POPAYÁN,81 - ARAUCA,NA,19,POPAYÁN,19,81,ARAUCA,81
20 - ASTREA,81 - ARAUCA,NA,20,ASTREA,20,81,ARAUCA,81
23 - MONTERÍA,81 - ARAUCA,NA,23,MONTERÍA,23,81,ARAUCA,81
25 - ALBÁN,81 - ARAUCA,NA,25,ALBÁN,25,81,ARAUCA,81
27 - RIOSUCIO,81 - ARAUCA,NA,27,RIOSUCIO,27,81,ARAUCA,81
41 - NEIVA,81 - ARAUCA,NA,41,NEIVA,41,81,ARAUCA,81
44 - BARRANCAS,81 - ARAUCA,NA,44,BARRANCAS,44,81,ARAUCA,81
47 - PEDRAZA,81 - ARAUCA,NA,47,PEDRAZA,47,81,ARAUCA,81
50 - VILLAVICENCIO,81 - ARAUCA,NA,50,VILLAVICENCIO,50,81,ARAUCA,81
52 - SANDONÁ,81 - ARAUCA,NA,52,SANDONÁ,52,81,ARAUCA,81
54 - SAN JOSÉ DE CÚCUTA,81 - ARAUCA,NA,54,SAN JOSÉ DE CÚCUTA,54,81,ARAUCA,81
63 - ARMENIA,81 - ARAUCA,NA,63,ARMENIA,63,81,ARAUCA,81
66 - PEREIRA,81 - ARAUCA,NA,66,PEREIRA,66,81,ARAUCA,81
68 - AGUADA,81 - ARAUCA,NA,68,AGUADA,68,81,ARAUCA,81
70 - SINCELEJO,81 - ARAUCA,NA,70,SINCELEJO,70,81,ARAUCA,81
73 - IBAGUÉ,81 - ARAUCA,NA,73,IBAGUÉ,73,81,ARAUCA,81
76 - CALI,81 - ARAUCA,NA,76,CALI,76,81,ARAUCA,81
05 - MEDELLÍN,85 - YOPAL,NA,05,MEDELLÍN,05,85,YOPAL,85
08 - BARRANQUILLA,85 - YOPAL,NA,08,BARRANQUILLA,08,85,YOPAL,85
"11 - BOGOTÁ, D.C.",85 - YOPAL,NA,11,"BOGOTÁ, D.C.",11,85,YOPAL,85
13 - CARTAGENA DE INDIAS,85 - YOPAL,NA,13,CARTAGENA DE INDIAS,13,85,YOPAL,85
15 - TUNJA,85 - YOPAL,NA,15,TUNJA,15,85,YOPAL,85
17 - MANIZALES,85 - YOPAL,NA,17,MANIZALES,17,85,YOPAL,85
18 - FLORENCIA,85 - YOPAL,NA,18,FLORENCIA,18,85,YOPAL,85
19 - POPAYÁN,85 - YOPAL,NA,19,POPAYÁN,19,85,YOPAL,85
20 - ASTREA,85 - YOPAL,NA,20,ASTREA,20,85,YOPAL,85
23 - MONTERÍA,85 - YOPAL,NA,23,MONTERÍA,23,85,YOPAL,85
25 - ALBÁN,85 - YOPAL,NA,25,ALBÁN,25,85,YOPAL,85
27 - RIOSUCIO,85 - YOPAL,NA,27,RIOSUCIO,27,85,YOPAL,85
41 - NEIVA,85 - YOPAL,NA,41,NEIVA,41,85,YOPAL,85
44 - BARRANCAS,85 - YOPAL,NA,44,BARRANCAS,44,85,YOPAL,85
47 - PEDRAZA,85 - YOPAL,NA,47,PEDRAZA,47,85,YOPAL,85
50 - VILLAVICENCIO,85 - YOPAL,NA,50,VILLAVICENCIO,50,85,YOPAL,85
52 - SANDONÁ,85 - YOPAL,NA,52,SANDONÁ,52,85,YOPAL,85
54 - SAN JOSÉ DE CÚCUTA,85 - YOPAL,NA,54,SAN JOSÉ DE CÚCUTA,54,85,YOPAL,85
63 - ARMENIA,85 - YOPAL,NA,63,ARMENIA,63,85,YOPAL,85
66 - PEREIRA,85 - YOPAL,NA,66,PEREIRA,66,85,YOPAL,85
68 - AGUADA,85 - YOPAL,NA,68,AGUADA,68,85,YOPAL,85
70 - SINCELEJO,85 - YOPAL,NA,70,SINCELEJO,70,85,YOPAL,85
73 - IBAGUÉ,85 - YOPAL,NA,73,IBAGUÉ,73,85,YOPAL,85
76 - CALI,85 - YOPAL,NA,76,CALI,76,85,YOPAL,85
81 - ARAUCA,85 - YOPAL,NA,81,ARAUCA,81,85,YOPAL,85
05 - MEDELLÍN,86 - MOCOA,NA,05,MEDELLÍN,05,86,MOCOA,86
08 - BARRANQUILLA,86 - MOCOA,NA,08,BARRANQUILLA,08,86,MOCOA,86
"11 - BOGOTÁ, D.C.",86 - MOCOA,NA,11,"BOGOTÁ, D.C.",11,86,MOCOA,86
13 - CARTAGENA DE INDIAS,86 - MOCOA,NA,13,CARTAGENA DE INDIAS,13,86,MOCOA,86
15 - TUNJA,86 - MOCOA,NA,15,TUNJA,15,86,MOCOA,86
17 - MANIZALES,86 - MOCOA,NA,17,MANIZALES,17,86,MOCOA,86
18 - FLORENCIA,86 - MOCOA,NA,18,FLORENCIA,18,86,MOCOA,86
19 - POPAYÁN,86 - MOCOA,NA,19,POPAYÁN,19,86,MOCOA,86
20 - ASTREA,86 - MOCOA,NA,20,ASTREA,20,86,MOCOA,86
23 - MONTERÍA,86 - MOCOA,NA,23,MONTERÍA,23,86,MOCOA,86
25 - ALBÁN,86 - MOCOA,NA,25,ALBÁN,25,86,MOCOA,86
27 - RIOSUCIO,86 - MOCOA,NA,27,RIOSUCIO,27,86,MOCOA,86
41 - NEIVA,86 - MOCOA,NA,41,NEIVA,41,86,MOCOA,86
44 - BARRANCAS,86 - MOCOA,NA,44,BARRANCAS,44,86,MOCOA,86
47 - PEDRAZA,86 - MOCOA,NA,47,PEDRAZA,47,86,MOCOA,86
50 - VILLAVICENCIO,86 - MOCOA,NA,50,VILLAVICENCIO,50,86,MOCOA,86
52 - SANDONÁ,86 - MOCOA,NA,52,SANDONÁ,52,86,MOCOA,86
54 - SAN JOSÉ DE CÚCUTA,86 - MOCOA,NA,54,SAN JOSÉ DE CÚCUTA,54,86,MOCOA,86
63 - ARMENIA,86 - MOCOA,NA,63,ARMENIA,63,86,MOCOA,86
66 - PEREIRA,86 - MOCOA,NA,66,PEREIRA,66,86,MOCOA,86
68 - AGUADA,86 - MOCOA,NA,68,AGUADA,68,86,MOCOA,86
70 - SINCELEJO,86 - MOCOA,NA,70,SINCELEJO,70,86,MOCOA,86
73 - IBAGUÉ,86 - MOCOA,NA,73,IBAGUÉ,73,86,MOCOA,86
76 - CALI,86 - MOCOA,NA,76,CALI,76,86,MOCOA,86
81 - ARAUCA,86 - MOCOA,NA,81,ARAUCA,81,86,MOCOA,86
85 - YOPAL,86 - MOCOA,NA,85,YOPAL,85,86,MOCOA,86
05 - MEDELLÍN,88 - SAN ANDRÉS,NA,05,MEDELLÍN,05,88,SAN ANDRÉS,88
08 - BARRANQUILLA,88 - SAN ANDRÉS,NA,08,BARRANQUILLA,08,88,SAN ANDRÉS,88
"11 - BOGOTÁ, D.C.",88 - SAN ANDRÉS,NA,11,"BOGOTÁ, D.C.",11,88,SAN ANDRÉS,88
13 - CARTAGENA DE INDIAS,88 - SAN ANDRÉS,NA,13,CARTAGENA DE INDIAS,13,88,SAN ANDRÉS,88
15 - TUNJA,88 - SAN ANDRÉS,NA,15,TUNJA,15,88,SAN ANDRÉS,88
17 - MANIZALES,88 - SAN ANDRÉS,NA,17,MANIZALES,17,88,SAN ANDRÉS,88
18 - FLORENCIA,88 - SAN ANDRÉS,NA,18,FLORENCIA,18,88,SAN ANDRÉS,88
19 - POPAYÁN,88 - SAN ANDRÉS,NA,19,POPAYÁN,19,88,SAN ANDRÉS,88
20 - ASTREA,88 - SAN ANDRÉS,NA,20,ASTREA,20,88,SAN ANDRÉS,88
23 - MONTERÍA,88 - SAN ANDRÉS,NA,23,MONTERÍA,23,88,SAN ANDRÉS,88
25 - ALBÁN,88 - SAN ANDRÉS,NA,25,ALBÁN,25,88,SAN ANDRÉS,88
27 - RIOSUCIO,88 - SAN ANDRÉS,NA,27,RIOSUCIO,27,88,SAN ANDRÉS,88
41 - NEIVA,88 - SAN ANDRÉS,NA,41,NEIVA,41,88,SAN ANDRÉS,88
44 - BARRANCAS,88 - SAN ANDRÉS,NA,44,BARRANCAS,44,88,SAN ANDRÉS,88
47 - PEDRAZA,88 - SAN ANDRÉS,NA,47,PEDRAZA,47,88,SAN ANDRÉS,88
50 - VILLAVICENCIO,88 - SAN ANDRÉS,NA,50,VILLAVICENCIO,50,88,SAN ANDRÉS,88
52 - SANDONÁ,88 - SAN ANDRÉS,NA,52,SANDONÁ,52,88,SAN ANDRÉS,88
54 - SAN JOSÉ DE CÚCUTA,88 - SAN ANDRÉS,NA,54,SAN JOSÉ DE CÚCUTA,54,88,SAN ANDRÉS,88
63 - ARMENIA,88 - SAN ANDRÉS,NA,63,ARMENIA,63,88,SAN ANDRÉS,88
66 - PEREIRA,88 - SAN ANDRÉS,NA,66,PEREIRA,66,88,SAN ANDRÉS,88
68 - AGUADA,88 - SAN ANDRÉS,NA,68,AGUADA,68,88,SAN ANDRÉS,88
70 - SINCELEJO,88 - SAN ANDRÉS,NA,70,SINCELEJO,70,88,SAN ANDRÉS,88
73 - IBAGUÉ,88 - SAN ANDRÉS,NA,73,IBAGUÉ,73,88,SAN ANDRÉS,88
76 - CALI,88 - SAN ANDRÉS,NA,76,CALI,76,88,SAN ANDRÉS,88
81 - ARAUCA,88 - SAN ANDRÉS,NA,81,ARAUCA,81,88,SAN ANDRÉS,88
85 - YOPAL,88 - SAN ANDRÉS,NA,85,YOPAL,85,88,SAN ANDRÉS,88
86 - MOCOA,88 - SAN ANDRÉS,NA,86,MOCOA,86,88,SAN ANDRÉS,88
05 - MEDELLÍN,91 - LETICIA,NA,05,MEDELLÍN,05,91,LETICIA,91
08 - BARRANQUILLA,91 - LETICIA,NA,08,BARRANQUILLA,08,91,LETICIA,91
"11 - BOGOTÁ, D.C.",91 - LETICIA,NA,11,"BOGOTÁ, D.C.",11,91,LETICIA,91
13 - CARTAGENA DE INDIAS,91 - LETICIA,NA,13,CARTAGENA DE INDIAS,13,91,LETICIA,91
15 - TUNJA,91 - LETICIA,NA,15,TUNJA,15,91,LETICIA,91
17 - MANIZALES,91 - LETICIA,NA,17,MANIZALES,17,91,LETICIA,91
18 - FLORENCIA,91 - LETICIA,NA,18,FLORENCIA,18,91,LETICIA,91
19 - POPAYÁN,91 - LETICIA,NA,19,POPAYÁN,19,91,LETICIA,91
20 - ASTREA,91 - LETICIA,NA,20,ASTREA,20,91,LETICIA,91
23 - MONTERÍA,91 - LETICIA,NA,23,MONTERÍA,23,91,LETICIA,91
25 - ALBÁN,91 - LETICIA,NA,25,ALBÁN,25,91,LETICIA,91
27 - RIOSUCIO,91 - LETICIA,NA,27,RIOSUCIO,27,91,LETICIA,91
41 - NEIVA,91 - LETICIA,NA,41,NEIVA,41,91,LETICIA,91
44 - BARRANCAS,91 - LETICIA,NA,44,BARRANCAS,44,91,LETICIA,91
47 - PEDRAZA,91 - LETICIA,NA,47,PEDRAZA,47,91,LETICIA,91
50 - VILLAVICENCIO,91 - LETICIA,NA,50,VILLAVICENCIO,50,91,LETICIA,91
52 - SANDONÁ,91 - LETICIA,NA,52,SANDONÁ,52,91,LETICIA,91
54 - SAN JOSÉ DE CÚCUTA,91 - LETICIA,NA,54,SAN JOSÉ DE CÚCUTA,54,91,LETICIA,91
63 - ARMENIA,91 - LETICIA,NA,63,ARMENIA,63,91,LETICIA,91
66 - PEREIRA,91 - LETICIA,NA,66,PEREIRA,66,91,LETICIA,91
68 - AGUADA,91 - LETICIA,NA,68,AGUADA,68,91,LETICIA,91
70 - SINCELEJO,91 - LETICIA,NA,70,SINCELEJO,70,91,LETICIA,91
73 - IBAGUÉ,91 - LETICIA,NA,73,IBAGUÉ,73,91,LETICIA,91
76 - CALI,91 - LETICIA,NA,76,CALI,76,91,LETICIA,91
81 - ARAUCA,91 - LETICIA,NA,81,ARAUCA,81,91,LETICIA,91
85 - YOPAL,91 - LETICIA,NA,85,YOPAL,85,91,LETICIA,91
86 - MOCOA,91 - LETICIA,NA,86,MOCOA,86,91,LETICIA,91
88 - SAN ANDRÉS,91 - LETICIA,NA,88,SAN ANDRÉS,88,91,LETICIA,91
05 - MEDELLÍN,94 - INÍRIDA,NA,05,MEDELLÍN,05,94,INÍRIDA,94
08 - BARRANQUILLA,94 - INÍRIDA,NA,08,BARRANQUILLA,08,94,INÍRIDA,94
"11 - BOGOTÁ, D.C.",94 - INÍRIDA,NA,11,"BOGOTÁ, D.C.",11,94,INÍRIDA,94
13 - CARTAGENA DE INDIAS,94 - INÍRIDA,NA,13,CARTAGENA DE INDIAS,13,94,INÍRIDA,94
15 - TUNJA,94 - INÍRIDA,NA,15,TUNJA,15,94,INÍRIDA,94
17 - MANIZALES,94 - INÍRIDA,NA,17,MANIZALES,17,94,INÍRIDA,94
18 - FLORENCIA,94 - INÍRIDA,NA,18,FLORENCIA,18,94,INÍRIDA,94
19 - POPAYÁN,94 - INÍRIDA,NA,19,POPAYÁN,19,94,INÍRIDA,94
20 - ASTREA,94 - INÍRIDA,NA,20,ASTREA,20,94,INÍRIDA,94
23 - MONTERÍA,94 - INÍRIDA,NA,23,MONTERÍA,23,94,INÍRIDA,94
25 - ALBÁN,94 - INÍRIDA,NA,25,ALBÁN,25,94,INÍRIDA,94
27 - RIOSUCIO,94 - INÍRIDA,NA,27,RIOSUCIO,27,94,INÍRIDA,94
41 - NEIVA,94 - INÍRIDA,NA,41,NEIVA,41,94,INÍRIDA,94
44 - BARRANCAS,94 - INÍRIDA,NA,44,BARRANCAS,44,94,INÍRIDA,94
47 - PEDRAZA,94 - INÍRIDA,NA,47,PEDRAZA,47,94,INÍRIDA,94
50 - VILLAVICENCIO,94 - INÍRIDA,NA,50,VILLAVICENCIO,50,94,INÍRIDA,94
52 - SANDONÁ,94 - INÍRIDA,NA,52,SANDONÁ,52,94,INÍRIDA,94
54 - SAN JOSÉ DE CÚCUTA,94 - INÍRIDA,NA,54,SAN JOSÉ DE CÚCUTA,54,94,INÍRIDA,94
63 - ARMENIA,94 - INÍRIDA,NA,63,ARMENIA,63,94,INÍRIDA,94
66 - PEREIRA,94 - INÍRIDA,NA,66,PEREIRA,66,94,INÍRIDA,94
68 - AGUADA,94 - INÍRIDA,NA,68,AGUADA,68,94,INÍRIDA,94
70 - SINCELEJO,94 - INÍRIDA,NA,70,SINCELEJO,70,94,INÍRIDA,94
73 - IBAGUÉ,94 - INÍRIDA,NA,73,IBAGUÉ,73,94,INÍRIDA,94
76 - CALI,94 - INÍRIDA,NA,76,CALI,76,94,INÍRIDA,94
81 - ARAUCA,94 - INÍRIDA,NA,81,ARAUCA,81,94,INÍRIDA,94
85 - YOPAL,94 - INÍRIDA,NA,85,YOPAL,85,94,INÍRIDA,94
86 - MOCOA,94 - INÍRIDA,NA,86,MOCOA,86,94,INÍRIDA,94
88 - SAN ANDRÉS,94 - INÍRIDA,NA,88,SAN ANDRÉS,88,94,INÍRIDA,94
91 - LETICIA,94 - INÍRIDA,NA,91,LETICIA,91,94,INÍRIDA,94
05 - MEDELLÍN,95 - SAN JOSÉ DEL GUAVIARE,NA,05,MEDELLÍN,05,95,SAN JOSÉ DEL GUAVIARE,95
08 - BARRANQUILLA,95 - SAN JOSÉ DEL GUAVIARE,NA,08,BARRANQUILLA,08,95,SAN JOSÉ DEL GUAVIARE,95
"11 - BOGOTÁ, D.C.",95 - SAN JOSÉ DEL GUAVIARE,NA,11,"BOGOTÁ, D.C.",11,95,SAN JOSÉ DEL GUAVIARE,95
13 - CARTAGENA DE INDIAS,95 - SAN JOSÉ DEL GUAVIARE,NA,13,CARTAGENA DE INDIAS,13,95,SAN JOSÉ DEL GUAVIARE,95
15 - TUNJA,95 - SAN JOSÉ DEL GUAVIARE,NA,15,TUNJA,15,95,SAN JOSÉ DEL GUAVIARE,95
17 - MANIZALES,95 - SAN JOSÉ DEL GUAVIARE,NA,17,MANIZALES,17,95,SAN JOSÉ DEL GUAVIARE,95
18 - FLORENCIA,95 - SAN JOSÉ DEL GUAVIARE,NA,18,FLORENCIA,18,95,SAN JOSÉ DEL GUAVIARE,95
19 - POPAYÁN,95 - SAN JOSÉ DEL GUAVIARE,NA,19,POPAYÁN,19,95,SAN JOSÉ DEL GUAVIARE,95
20 - ASTREA,95 - SAN JOSÉ DEL GUAVIARE,NA,20,ASTREA,20,95,SAN JOSÉ DEL GUAVIARE,95
23 - MONTERÍA,95 - SAN JOSÉ DEL GUAVIARE,NA,23,MONTERÍA,23,95,SAN JOSÉ DEL GUAVIARE,95
25 - ALBÁN,95 - SAN JOSÉ DEL GUAVIARE,NA,25,ALBÁN,25,95,SAN JOSÉ DEL GUAVIARE,95
27 - RIOSUCIO,95 - SAN JOSÉ DEL GUAVIARE,NA,27,RIOSUCIO,27,95,SAN JOSÉ DEL GUAVIARE,95
41 - NEIVA,95 - SAN JOSÉ DEL GUAVIARE,NA,41,NEIVA,41,95,SAN JOSÉ DEL GUAVIARE,95
44 - BARRANCAS,95 - SAN JOSÉ DEL GUAVIARE,NA,44,BARRANCAS,44,95,SAN JOSÉ DEL GUAVIARE,95
47 - PEDRAZA,95 - SAN JOSÉ DEL GUAVIARE,NA,47,PEDRAZA,47,95,SAN JOSÉ DEL GUAVIARE,95
50 - VILLAVICENCIO,95 - SAN JOSÉ DEL GUAVIARE,NA,50,VILLAVICENCIO,50,95,SAN JOSÉ DEL GUAVIARE,95
52 - SANDONÁ,95 - SAN JOSÉ DEL GUAVIARE,NA,52,SANDONÁ,52,95,SAN JOSÉ DEL GUAVIARE,95
54 - SAN JOSÉ DE CÚCUTA,95 - SAN JOSÉ DEL GUAVIARE,NA,54,SAN JOSÉ DE CÚCUTA,54,95,SAN JOSÉ DEL GUAVIARE,95
63 - ARMENIA,95 - SAN JOSÉ DEL GUAVIARE,NA,63,ARMENIA,63,95,SAN JOSÉ DEL GUAVIARE,95
66 - PEREIRA,95 - SAN JOSÉ DEL GUAVIARE,NA,66,PEREIRA,66,95,SAN JOSÉ DEL GUAVIARE,95
68 - AGUADA,95 - SAN JOSÉ DEL GUAVIARE,NA,68,AGUADA,68,95,SAN JOSÉ DEL GUAVIARE,95
70 - SINCELEJO,95 - SAN JOSÉ DEL GUAVIARE,NA,70,SINCELEJO,70,95,SAN JOSÉ DEL GUAVIARE,95
73 - IBAGUÉ,95 - SAN JOSÉ DEL GUAVIARE,NA,73,IBAGUÉ,73,95,SAN JOSÉ DEL GUAVIARE,95
76 - CALI,95 - SAN JOSÉ DEL GUAVIARE,NA,76,CALI,76,95,SAN JOSÉ DEL GUAVIARE,95
81 - ARAUCA,95 - SAN JOSÉ DEL GUAVIARE,NA,81,ARAUCA,81,95,SAN JOSÉ DEL GUAVIARE,95
85 - YOPAL,95 - SAN JOSÉ DEL GUAVIARE,NA,85,YOPAL,85,95,SAN JOSÉ DEL GUAVIARE,95
86 - MOCOA,95 - SAN JOSÉ DEL GUAVIARE,NA,86,MOCOA,86,95,SAN JOSÉ DEL GUAVIARE,95
88 - SAN ANDRÉS,95 - SAN JOSÉ DEL GUAVIARE,NA,88,SAN ANDRÉS,88,95,SAN JOSÉ DEL GUAVIARE,95
91 - LETICIA,95 - SAN JOSÉ DEL GUAVIARE,NA,91,LETICIA,91,95,SAN JOSÉ DEL GUAVIARE,95
94 - INÍRIDA,95 - SAN JOSÉ DEL GUAVIARE,NA,94,INÍRIDA,94,95,SAN JOSÉ DEL GUAVIARE,95
05 - MEDELLÍN,97 - MITÚ,NA,05,MEDELLÍN,05,97,MITÚ,97
08 - BARRANQUILLA,97 - MITÚ,NA,08,BARRANQUILLA,08,97,MITÚ,97
"11 - BOGOTÁ, D.C.",97 - MITÚ,NA,11,"BOGOTÁ, D.C.",11,97,MITÚ,97
13 - CARTAGENA DE INDIAS,97 - MITÚ,NA,13,CARTAGENA DE INDIAS,13,97,MITÚ,97
15 - TUNJA,97 - MITÚ,NA,15,TUNJA,15,97,MITÚ,97
17 - MANIZALES,97 - MITÚ,NA,17,MANIZALES,17,97,MITÚ,97
18 - FLORENCIA,97 - MITÚ,NA,18,FLORENCIA,18,97,MITÚ,97
19 - POPAYÁN,97 - MITÚ,NA,19,POPAYÁN,19,97,MITÚ,97
20 - ASTREA,97 - MITÚ,NA,20,ASTREA,20,97,MITÚ,97
23 - MONTERÍA,97 - MITÚ,NA,23,MONTERÍA,23,97,MITÚ,97
25 - ALBÁN,97 - MITÚ,NA,25,ALBÁN,25,97,MITÚ,97
27 - RIOSUCIO,97 - MITÚ,NA,27,RIOSUCIO,27,97,MITÚ,97
41 - NEIVA,97 - MITÚ,NA,41,NEIVA,41,97,MITÚ,97
44 - BARRANCAS,97 - MITÚ,NA,44,BARRANCAS,44,97,MITÚ,97
47 - PEDRAZA,97 - MITÚ,NA,47,PEDRAZA,47,97,MITÚ,97
50 - VILLAVICENCIO,97 - MITÚ,NA,50,VILLAVICENCIO,50,97,MITÚ,97
52 - SANDONÁ,97 - MITÚ,NA,52,SANDONÁ,52,97,MITÚ,97
54 - SAN JOSÉ DE CÚCUTA,97 - MITÚ,NA,54,SAN JOSÉ DE CÚCUTA,54,97,MITÚ,97
63 - ARMENIA,97 - MITÚ,NA,63,ARMENIA,63,97,MITÚ,97
66 - PEREIRA,97 - MITÚ,NA,66,PEREIRA,66,97,MITÚ,97
68 - AGUADA,97 - MITÚ,NA,68,AGUADA,68,97,MITÚ,97
70 - SINCELEJO,97 - MITÚ,NA,70,SINCELEJO,70,97,MITÚ,97
73 - IBAGUÉ,97 - MITÚ,NA,73,IBAGUÉ,73,97,MITÚ,97
76 - CALI,97 - MITÚ,NA,76,CALI,76,97,MITÚ,97
81 - ARAUCA,97 - MITÚ,NA,81,ARAUCA,81,97,MITÚ,97
85 - YOPAL,97 - MITÚ,NA,85,YOPAL,85,97,MITÚ,97
86 - MOCOA,97 - MITÚ,NA,86,MOCOA,86,97,MITÚ,97
88 - SAN ANDRÉS,97 - MITÚ,NA,88,SAN ANDRÉS,88,97,MITÚ,97
91 - LETICIA,97 - MITÚ,NA,91,LETICIA,91,97,MITÚ,97
94 - INÍRIDA,97 - MITÚ,NA,94,INÍRIDA,94,97,MITÚ,97
95 - SAN JOSÉ DEL GUAVIARE,97 - MITÚ,NA,95,SAN JOSÉ DEL GUAVIARE,95,97,MITÚ,97
05 - MEDELLÍN,99 - SANTA ROSALÍA,NA,05,MEDELLÍN,05,99,SANTA ROSALÍA,99
08 - BARRANQUILLA,99 - SANTA ROSALÍA,NA,08,BARRANQUILLA,08,99,SANTA ROSALÍA,99
"11 - BOGOTÁ, D.C.",99 - SANTA ROSALÍA,NA,11,"BOGOTÁ, D.C.",11,99,SANTA ROSALÍA,99
13 - CARTAGENA DE INDIAS,99 - SANTA ROSALÍA,NA,13,CARTAGENA DE INDIAS,13,99,SANTA ROSALÍA,99
15 - TUNJA,99 - SANTA ROSALÍA,NA,15,TUNJA,15,99,SANTA ROSALÍA,99
17 - MANIZALES,99 - SANTA ROSALÍA,NA,17,MANIZALES,17,99,SANTA ROSALÍA,99
18 - FLORENCIA,99 - SANTA ROSALÍA,NA,18,FLORENCIA,18,99,SANTA ROSALÍA,99
19 - POPAYÁN,99 - SANTA ROSALÍA,NA,19,POPAYÁN,19,99,SANTA ROSALÍA,99
20 - ASTREA,99 - SANTA ROSALÍA,NA,20,ASTREA,20,99,SANTA ROSALÍA,99
23 - MONTERÍA,99 - SANTA ROSALÍA,NA,23,MONTERÍA,23,99,SANTA ROSALÍA,99
25 - ALBÁN,99 - SANTA ROSALÍA,NA,25,ALBÁN,25,99,SANTA ROSALÍA,99
27 - RIOSUCIO,99 - SANTA ROSALÍA,NA,27,RIOSUCIO,27,99,SANTA ROSALÍA,99
41 - NEIVA,99 - SANTA ROSALÍA,NA,41,NEIVA,41,99,SANTA ROSALÍA,99
44 - BARRANCAS,99 - SANTA ROSALÍA,NA,44,BARRANCAS,44,99,SANTA ROSALÍA,99
47 - PEDRAZA,99 - SANTA ROSALÍA,NA,47,PEDRAZA,47,99,SANTA ROSALÍA,99
50 - VILLAVICENCIO,99 - SANTA ROSALÍA,NA,50,VILLAVICENCIO,50,99,SANTA ROSALÍA,99
52 - SANDONÁ,99 - SANTA ROSALÍA,NA,52,SANDONÁ,52,99,SANTA ROSALÍA,99
54 - SAN JOSÉ DE CÚCUTA,99 - SANTA ROSALÍA,NA,54,SAN JOSÉ DE CÚCUTA,54,99,SANTA ROSALÍA,99
63 - ARMENIA,99 - SANTA ROSALÍA,NA,63,ARMENIA,63,99,SANTA ROSALÍA,99
66 - PEREIRA,99 - SANTA ROSALÍA,NA,66,PEREIRA,66,99,SANTA ROSALÍA,99
68 - AGUADA,99 - SANTA ROSALÍA,NA,68,AGUADA,68,99,SANTA ROSALÍA,99
70 - SINCELEJO,99 - SANTA ROSALÍA,NA,70,SINCELEJO,70,99,SANTA ROSALÍA,99
73 - IBAGUÉ,99 - SANTA ROSALÍA,NA,73,IBAGUÉ,73,99,SANTA ROSALÍA,99
76 - CALI,99 - SANTA ROSALÍA,NA,76,CALI,76,99,SANTA ROSALÍA,99
81 - ARAUCA,99 - SANTA ROSALÍA,NA,81,ARAUCA,81,99,SANTA ROSALÍA,99
