from_id,05 - MEDELLÍN,08 - BARRANQUILLA,"11 - BOGOTÁ, D.C.",13 - CARTAGENA DE INDIAS,15 - TUNJA,17 - MANIZALES,18 - FLORENCIA,19 - POPAYÁN,20 - VALLEDUPAR,23 - MONTERÍA,27 - QUIBDÓ,41 - NEIVA,44 - RIOHACHA,47 - SANTA MARTA,50 - VILLAVICENCIO,52 - PASTO,54 - SAN JOSÉ DE CÚCUTA,63 - ARMENIA,66 - PEREIRA,68 - BUCARAMANGA,70 - SINCELEJO,73 - IBAGUÉ,76 - CALI,81 - ARAUCA,85 - YOPAL,86 - MOCOA,88 - SAN ANDRÉS,91 - LETICIA,94 - INÍRIDA,95 - SAN JOSÉ DEL GUAVIARE,97 - MITÚ,99 - PUERTO CARREÑO
73 - IBAGUÉ,414.12,1007.44,NA,977.78,339.48,180.22,439.86,406.78,886.69,751.41,NA,223.23,1048.42,NA,307.13,713.86,742.19,95.23,131.48,532.66,797.57,0,278.5,NA,588.58,535.24,NA,NA,NA,NA,NA,NA
76 - CALI,452.6,1164.05,NA,1097.24,595.54,276.81,404.21,148.35,1152.18,870.87,NA,376.03,1313.91,NA,563.19,440,1007.68,187.03,217.42,798.15,917.03,273.8,0,NA,844.63,421.94,NA,NA,NA,NA,NA,NA
81 - ARAUCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 - YOPAL,633,1050.34,NA,1088.25,253.74,686.22,916.74,971.17,929.59,871.3,NA,700.12,1091.32,NA,308.1,1190.75,586.07,666.68,702.93,481.44,917.46,584.26,849.95,NA,0,1012.13,NA,NA,NA,NA,NA,NA
86 - MOCOA,916.16,1509.47,NA,1479.81,764.42,699.21,230.05,286.28,1388.72,1253.44,NA,328.91,1550.45,NA,732.07,179.17,1244.22,614.23,650.47,1034.7,1299.61,531.81,419.87,NA,1013.52,0,NA,NA,NA,NA,NA,NA
88 - SAN ANDRÉS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
91 - LETICIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94 - INÍRIDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95 - SAN JOSÉ DEL GUAVIARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97 - MITÚ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99 - PUERTO CARREÑO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
