from_id,to_id,dist_km,dur_min
63 - ARMENIA,86 - MOCOA,612.02,487.5221666666667
05 - MEDELLÍN,54 - SAN JOSÉ DE CÚCUTA,613.82,475.2145
23 - MONTERÍA,44 - RIOHACHA,615.65,474.4318333333333
63 - ARMENIA,68 - BUCARAMANGA,618.87,508.41766666666666
52 - PASTO,66 - PEREIRA,624.49,717.6333333333333
13 - CARTAGENA DE INDIAS,68 - BUCARAMANGA,626.12,508.0638333333334
44 - RIOHACHA,68 - BUCARAMANGA,629.29,500.71866666666665
05 - MEDELLÍN,85 - YOPAL,632.45,667.8534999999999
18 - FLORENCIA,50 - VILLAVICENCIO,636.74,519.7411666666667
17 - MANIZALES,23 - MONTERÍA,637.73,621.2189999999999
66 - PEREIRA,86 - MOCOA,640.88,523.6573333333333
23 - MONTERÍA,68 - BUCARAMANGA,641.49,534.653
05 - MEDELLÍN,13 - CARTAGENA DE INDIAS,646.96,552.8985
66 - PEREIRA,68 - BUCARAMANGA,647.73,544.553
15 - TUNJA,23 - MONTERÍA,658.65,614.6015
63 - ARMENIA,85 - YOPAL,665.35,605.2225
15 - TUNJA,18 - FLORENCIA,677.77,581.8956666666667
23 - MONTERÍA,66 - PEREIRA,679.6,642.1669999999999
08 - BARRANQUILLA,54 - SAN JOSÉ DE CÚCUTA,680.9,568.3451666666666
19 - POPAYÁN,50 - VILLAVICENCIO,681.38,655.7641666666666
17 - MANIZALES,70 - SINCELEJO,683.89,627.9601666666666
17 - MANIZALES,86 - MOCOA,688.9,578.9965
17 - MANIZALES,85 - YOPAL,689.06,670.6681666666666
17 - MANIZALES,52 - PASTO,692.55,791.8678333333334
66 - PEREIRA,85 - YOPAL,694.21,641.3578333333334
41 - NEIVA,85 - YOPAL,701.31,598.7963333333333
15 - TUNJA,70 - SINCELEJO,704.81,621.3428333333334
52 - PASTO,73 - IBAGUÉ,705.85,666.5766666666666
05 - MEDELLÍN,08 - BARRANQUILLA,713.76,592.259
13 - CARTAGENA DE INDIAS,54 - SAN JOSÉ DE CÚCUTA,716.02,601.2415
41 - NEIVA,68 - BUCARAMANGA,722.49,571.029
66 - PEREIRA,70 - SINCELEJO,728.73,667.3598333333333
23 - MONTERÍA,54 - SAN JOSÉ DE CÚCUTA,731.38,627.8306666666666
15 - TUNJA,19 - POPAYÁN,732.2,737.6246666666667
50 - VILLAVICENCIO,86 - MOCOA,734.99,606.3088333333333
23 - MONTERÍA,63 - ARMENIA,736.53,707.5631666666667
54 - SAN JOSÉ DE CÚCUTA,73 - IBAGUÉ,739.87,572.5591666666667
15 - TUNJA,20 - VALLEDUPAR,749.22,606.6121666666667
23 - MONTERÍA,73 - IBAGUÉ,750.51,633.0143333333333
50 - VILLAVICENCIO,54 - SAN JOSÉ DE CÚCUTA,754.49,636.6273333333334
05 - MEDELLÍN,20 - VALLEDUPAR,758.32,572.4784999999999
15 - TUNJA,86 - MOCOA,773.16,649.2665
17 - MANIZALES,54 - SAN JOSÉ DE CÚCUTA,786,642.6826666666667
70 - SINCELEJO,73 - IBAGUÉ,796.47,639.6415
68 - BUCARAMANGA,76 - CALI,803.74,712.5393333333334
05 - MEDELLÍN,18 - FLORENCIA,819.69,687.9876666666667
54 - SAN JOSÉ DE CÚCUTA,63 - ARMENIA,829.28,672.8941666666667
76 - CALI,85 - YOPAL,844.63,788.8803333333333
23 - MONTERÍA,50 - VILLAVICENCIO,863.17,785.5083333333333
54 - SAN JOSÉ DE CÚCUTA,66 - PEREIRA,864.09,714.7076666666667
13 - CARTAGENA DE INDIAS,17 - MANIZALES,864.81,751.6428333333333
05 - MEDELLÍN,52 - PASTO,867.72,954.7493333333333
23 - MONTERÍA,76 - CALI,868.89,824.0738333333334
08 - BARRANQUILLA,15 - TUNJA,871.34,702.4216666666667
23 - MONTERÍA,85 - YOPAL,872.15,876.525
20 - VALLEDUPAR,73 - IBAGUÉ,872.6,647.277
63 - ARMENIA,70 - SINCELEJO,883.78,725.6788333333334
13 - CARTAGENA DE INDIAS,66 - PEREIRA,905.29,786.0856666666666
13 - CARTAGENA DE INDIAS,15 - TUNJA,906.46,735.3181666666666
15 - TUNJA,44 - RIOHACHA,910.95,728.0218333333333
50 - VILLAVICENCIO,52 - PASTO,913.61,868.9825
70 - SINCELEJO,76 - CALI,914.84,830.7008333333334
05 - MEDELLÍN,86 - MOCOA,915.08,755.3585
70 - SINCELEJO,85 - YOPAL,918.11,883.152
18 - FLORENCIA,85 - YOPAL,918.18,749.5531666666667
19 - POPAYÁN,68 - BUCARAMANGA,918.94,849.0503333333332
05 - MEDELLÍN,44 - RIOHACHA,920.05,693.8881666666667
50 - VILLAVICENCIO,70 - SINCELEJO,922.17,793.5481666666667
17 - MANIZALES,20 - VALLEDUPAR,930.5,739.9465
41 - NEIVA,54 - SAN JOSÉ DE CÚCUTA,932.02,707.8931666666666
08 - BARRANQUILLA,17 - MANIZALES,932.15,791.1233333333333
18 - FLORENCIA,68 - BUCARAMANGA,939.36,721.7860000000001
23 - MONTERÍA,41 - NEIVA,941.97,779.2743333333333
15 - TUNJA,52 - PASTO,951.78,911.9401666666668
20 - VALLEDUPAR,63 - ARMENIA,962.01,747.612
13 - CARTAGENA DE INDIAS,63 - ARMENIA,962.21,851.4816666666667
19 - POPAYÁN,85 - YOPAL,962.82,885.5761666666666
