"ano";"COD_DANE_DPTO_D";"DEPARTAMENTO_D";"COD_DANE_MUNIC_D";"MUNICIPIO_D";"quinquenio";"clase";"sexo";"poblacion"
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"55-59";"Centros Poblados y Rural Disperso";"hombres";34
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"55-59";"Centros Poblados y Rural Disperso";"mujeres";25
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"60-64";"Cabecera Municipal";"hombres";7975
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"60-64";"Cabecera Municipal";"mujeres";9225
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"60-64";"Centros Poblados y Rural Disperso";"hombres";26
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"60-64";"Centros Poblados y Rural Disperso";"mujeres";21
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"65-69";"Cabecera Municipal";"hombres";5973
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"65-69";"Cabecera Municipal";"mujeres";7104
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"65-69";"Centros Poblados y Rural Disperso";"hombres";25
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"65-69";"Centros Poblados y Rural Disperso";"mujeres";12
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"70-74";"Cabecera Municipal";"hombres";4163
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"70-74";"Cabecera Municipal";"mujeres";5166
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"70-74";"Centros Poblados y Rural Disperso";"hombres";20
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"70-74";"Centros Poblados y Rural Disperso";"mujeres";8
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"75-79";"Cabecera Municipal";"hombres";2567
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"75-79";"Cabecera Municipal";"mujeres";3337
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"75-79";"Centros Poblados y Rural Disperso";"hombres";14
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"75-79";"Centros Poblados y Rural Disperso";"mujeres";5
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"80+";"Cabecera Municipal";"hombres";4239
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"80+";"Cabecera Municipal";"mujeres";6555
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"80+";"Centros Poblados y Rural Disperso";"hombres";25
1985;"08";"ATLÁNTICO";"08001";"BARRANQUILLA";"80+";"Centros Poblados y Rural Disperso";"mujeres";19
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"0-4";"Cabecera Municipal";"hombres";1778
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"0-4";"Cabecera Municipal";"mujeres";1639
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"0-4";"Centros Poblados y Rural Disperso";"hombres";480
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"0-4";"Centros Poblados y Rural Disperso";"mujeres";484
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"10-14";"Cabecera Municipal";"hombres";1368
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"10-14";"Cabecera Municipal";"mujeres";1166
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"10-14";"Centros Poblados y Rural Disperso";"hombres";323
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"10-14";"Centros Poblados y Rural Disperso";"mujeres";273
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"15-19";"Cabecera Municipal";"hombres";1381
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"15-19";"Cabecera Municipal";"mujeres";1219
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"15-19";"Centros Poblados y Rural Disperso";"hombres";337
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"15-19";"Centros Poblados y Rural Disperso";"mujeres";316
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"20-24";"Cabecera Municipal";"hombres";1346
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"20-24";"Cabecera Municipal";"mujeres";1295
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"20-24";"Centros Poblados y Rural Disperso";"hombres";363
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"20-24";"Centros Poblados y Rural Disperso";"mujeres";372
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"25-29";"Cabecera Municipal";"hombres";1120
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"25-29";"Cabecera Municipal";"mujeres";1133
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"25-29";"Centros Poblados y Rural Disperso";"hombres";337
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"25-29";"Centros Poblados y Rural Disperso";"mujeres";342
